Asian,Black,Native,White,2+,Hispanic
0.83,0.55,0.3,95.1,1.8,1.41
0.78,0.0,0.0,95.3,1.37,2.41
0.0,0.0,0.0,0.0,0.0,0.0
0.69,0.76,0.07,95.35,0.91,2.2
0.0,0.0,0.0,97.63,0.0,0.0
0.79,1.16,0.06,94.83,0.93,2.24
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,96.97,0.88,1.82
0.77,0.46,0.49,94.83,1.38,2.07
0.49,28.17,1.07,65.51,2.38,2.38
0.55,0.18,0.37,96.32,0.92,1.66
0.74,0.12,0.19,94.74,1.43,2.79
0.64,0.45,0.27,95.71,1.13,1.8
0.0,0.0,0.0,93.31,0.0,4.6
0.67,0.3,0.3,95.36,1.45,1.92
0.0,0.0,0.0,0.0,0.0,0.0
0.75,3.52,0.25,91.47,1.26,2.73
0.68,2.0,0.27,92.94,1.33,2.79
0.58,11.53,0.68,83.11,1.76,2.34
0.54,0.62,0.22,94.31,1.41,2.9
0.51,24.7,0.77,69.24,2.31,2.47
0.7,2.85,0.67,92.11,1.55,2.11
0.5,19.17,1.01,74.88,2.1,2.34
0.79,3.72,1.11,90.24,1.83,2.31
0.49,28.17,1.07,65.51,2.38,2.38
0.49,25.65,0.75,68.56,2.3,2.24
0.69,1.34,0.32,90.85,1.34,5.46
0.5,23.11,0.89,70.9,2.19,2.4
0.55,2.2,0.19,93.19,0.93,2.94
0.49,22.09,0.35,73.78,1.24,2.04
0.5,17.47,0.4,77.58,1.93,2.12
0.49,28.17,1.07,65.51,2.38,2.38
0.68,0.38,0.62,94.7,1.29,2.32
0.0,0.0,0.0,0.0,0.0,0.0
0.63,0.0,0.0,95.54,0.86,2.51
0.0,0.0,0.0,0.0,0.0,0.0
0.73,0.35,0.06,96.05,1.05,1.77
0.0,0.0,0.0,0.0,0.0,0.0
0.58,11.25,0.42,83.59,1.83,2.32
0.0,0.0,0.0,0.0,0.0,0.0
0.65,6.52,0.21,88.82,1.56,2.24
0.0,0.0,0.0,0.0,0.0,0.0
0.47,0.17,0.32,95.74,0.95,2.35
