zestimate,low,high,1
,,,0
392126,364677,423496,1
,,,0
0,0,0,1
,,,0
742188,705079,779297,1
,,,0
569853,541360,598346,1
,,,0
0,0,0,1
,,,0
401213,373128,433310,1
,,,0
1183386,1112383,1254389,1
,,,0
346604,315410,377798,1
,,,0
332094,308847,348699,1
,,,0
619316,588350,650282,1
,,,0
0,0,0,1
,,,0
358214,329557,386871,1
,,,0
297726,259022,321544,1
,,,0
480763,456725,509609,1
,,,0
0,0,0,1
,,,0
194177,184468,205828,1
,,,0
506989,481640,532338,1
,,,0
0,0,0,1
,,,0
377604,351172,415364,1
,,,0
1343336,1262736,1464236,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
672578,638949,712933,1
,,,0
505698,470299,546154,1
,,,0
736663,677730,773496,1
,,,0
568521,517354,608317,1
,,,0
531204,488708,563076,1
,,,0
314424,289270,342722,1
,,,0
652801,607105,685441,1
,,,0
604962,544466,671508,1
,,,0
395709,371966,419452,1
,,,0
479901,455906,503896,1
,,,0
329479,303121,359132,1
,,,0
630285,598771,661799,1
,,,0
453020,430369,480201,1
,,,0
426460,405137,452048,1
,,,0
482520,439093,511471,1
,,,0
878533,808250,922460,1
,,,0
472430,434636,505500,1
,,,0
419122,389783,452652,1
,,,0
324977,308728,341226,1
,,,0
1159471,1066713,1229039,1
,,,0
511467,485894,537040,1
,,,0
497803,472913,522693,1
,,,0
429314,407848,455073,1
,,,0
355448,337676,373220,1
,,,0
1052842,905444,1179183,1
,,,0
417870,384440,438763,1
,,,0
0,0,0,1
,,,0
245241,228074,259955,1
,,,0
0,0,0,1
,,,0
760418,722397,798439,1
,,,0
427659,389170,457595,1
,,,0
327053,297618,356488,1
,,,0
0,0,0,1
,,,0
475211,446698,513228,1
,,,0
403237,370978,431464,1
,,,0
403237,370978,431464,1
,,,0
758961,705834,827267,1
,,,0
317620,295387,343030,1
,,,0
850145,799136,909655,1
,,,0
850145,799136,909655,1
,,,0
449659,427176,476639,1
,,,0
593410,557805,623080,1
,,,0
431729,410143,457633,1
,,,0
303708,282448,324968,1
,,,0
330799,314259,357263,1
,,,0
585130,550022,614386,1
,,,0
567524,539148,601575,1
,,,0
0,0,0,1
,,,0
408124,375474,436693,1
,,,0
515021,489270,545922,1
,,,0
703618,668437,738799,1
,,,0
776750,699075,838890,1
,,,0
0,0,0,1
,,,0
309147,290598,327696,1
,,,0
399558,371589,427527,1
,,,0
465967,442669,489265,1
,,,0
376430,346316,402780,1
,,,0
716556,680728,752384,1
,,,0
1201504,1081354,1321654,1
,,,0
340304,316483,364125,1
,,,0
820657,763211,878103,1
,,,0
248019,235618,260420,1
,,,0
843539,792927,902587,1
,,,0
375902,338312,417251,1
,,,0
414081,393377,434785,1
,,,0
805123,756816,853430,1
,,,0
169508,147472,201715,1
,,,0
0,0,0,1
,,,0
352333,334716,380520,1
,,,0
0,0,0,1
,,,0
872944,811838,960238,1
,,,0
231577,213051,250103,1
,,,0
375409,356639,394179,1
,,,0
649104,584194,726996,1
,,,0
806425,766104,846746,1
,,,0
381094,362039,400149,1
,,,0
814632,773900,863510,1
,,,0
355443,334116,373215,1
,,,0
260394,234355,289037,1
,,,0
322973,303595,342351,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
539874,502083,583064,1
,,,0
0,0,0,1
,,,0
798308,726460,870156,1
,,,0
0,0,0,1
,,,0
865938,805322,909235,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
742729,690738,794720,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
595456,535910,666911,1
,,,0
432209,410599,453819,1
,,,0
0,0,0,1
,,,0
1382003,1229983,1547843,1
,,,0
418229,384771,451687,1
,,,0
798058,726233,869883,1
,,,0
0,0,0,1
,,,0
614377,571371,651240,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
578737,538225,630823,1
,,,0
913794,868104,996035,1
,,,0
516619,485622,547616,1
,,,0
508501,483076,533926,1
,,,0
420418,399397,441439,1
,,,0
399520,379544,419496,1
,,,0
0,0,0,1
,,,0
768519,699352,814630,1
,,,0
710657,653804,774616,1
,,,0
0,0,0,1
,,,0
513869,488176,539562,1
,,,0
169508,147472,201715,1
,,,0
589724,560238,619210,1
,,,0
435556,413778,461689,1
,,,0
560551,532523,588579,1
,,,0
346604,315410,377798,1
,,,0
888860,826640,959969,1
,,,0
710956,675408,746504,1
,,,0
542066,509542,569169,1
,,,0
0,0,0,1
,,,0
351665,267265,404415,1
,,,0
294543,268034,323997,1
,,,0
0,0,0,1
,,,0
586607,545545,621803,1
,,,0
429314,407848,455073,1
,,,0
819923,754329,885517,1
,,,0
400304,372283,424322,1
,,,0
666215,612918,732836,1
,,,0
417328,375595,467407,1
,,,0
430182,408673,455993,1
,,,0
0,0,0,1
,,,0
539371,501615,566340,1
,,,0
626708,595373,658043,1
,,,0
771535,717528,825542,1
,,,0
951500,865865,1037135,1
,,,0
0,0,0,1
,,,0
540587,513558,567616,1
,,,0
0,0,0,1
,,,0
583473,513456,635986,1
,,,0
799356,759388,839324,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
512204,476350,542936,1
,,,0
0,0,0,1
,,,0
1090293,992167,1199322,1
,,,0
361317,343251,379383,1
,,,0
687487,646238,728736,1
,,,0
775498,690193,853048,1
,,,0
406900,386555,435383,1
,,,0
1382003,1229983,1547843,1
,,,0
454357,408921,508880,1
,,,0
584804,555564,614044,1
,,,0
651710,612607,684295,1
,,,0
542503,509953,580478,1
,,,0
878533,808250,922460,1
,,,0
737094,692868,773949,1
,,,0
355443,334116,373215,1
,,,0
538748,501036,576460,1
,,,0
815249,717419,888621,1
,,,0
537871,500220,575522,1
,,,0
490642,461203,515174,1
,,,0
120577,114548,126606,1
,,,0
538561,500862,570875,1
,,,0
577022,525090,617414,1
,,,0
0,0,0,1
,,,0
780065,725460,819068,1
,,,0
0,0,0,1
,,,0
469283,408276,511518,1
,,,0
0,0,0,1
,,,0
485410,446577,548513,1
,,,0
0,0,0,1
,,,0
619740,588753,650727,1
,,,0
500178,465166,525187,1
,,,0
430967,392180,452515,1
,,,0
0,0,0,1
,,,0
453226,412436,498549,1
,,,0
649584,604113,708047,1
,,,0
495641,455990,530336,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
1270927,1105706,1461566,1
,,,0
160650,152618,168682,1
,,,0
538711,501001,587195,1
,,,0
0,0,0,1
,,,0
1024019,931857,1095700,1
,,,0
719062,654346,762206,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
419044,398092,439996,1
,,,0
169508,147472,201715,1
,,,0
1417569,1219109,1715258,1
,,,0
231577,213051,250103,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
415343,386269,436110,1
,,,0
405139,380831,425396,1
,,,0
417328,375595,467407,1
,,,0
531204,488708,563076,1
,,,0
647297,614932,692608,1
,,,0
472430,434636,505500,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
1019124,947785,1131228,1
,,,0
911338,865771,956905,1
,,,0
0,0,0,1
,,,0
309147,290598,327696,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
169508,147472,201715,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
683019,642038,730830,1
,,,0
593844,558213,629475,1
,,,0
0,0,0,1
,,,0
347993,320154,375832,1
,,,0
0,0,0,1
,,,0
623771,555156,698624,1
,,,0
0,0,0,1
,,,0
993022,943371,1082394,1
,,,0
916205,852071,962015,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
1223093,1137476,1308710,1
,,,0
0,0,0,1
,,,0
1382003,1229983,1547843,1
,,,0
0,0,0,1
,,,0
622332,578769,678342,1
,,,0
0,0,0,1
,,,0
520683,489442,551924,1
,,,0
0,0,0,1
,,,0
1056251,982313,1172439,1
,,,0
668452,594922,735297,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
560551,532523,588579,1
,,,0
0,0,0,1
,,,0
593410,557805,623080,1
,,,0
1052842,905444,1179183,1
,,,0
831012,756221,930733,1
,,,0
0,0,0,1
,,,0
294543,268034,323997,1
,,,0
427834,406442,453504,1
,,,0
494561,454996,519289,1
,,,0
504312,474053,549700,1
,,,0
0,0,0,1
,,,0
512204,476350,542936,1
,,,0
365882,347588,384176,1
,,,0
363668,334575,396398,1
,,,0
1583765,1425389,1742141,1
,,,0
0,0,0,1
,,,0
594440,564718,636051,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
547527,503725,591329,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
484403,455339,508623,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
806425,766104,846746,1
,,,0
0,0,0,1
,,,0
151822,139676,163968,1
,,,0
718726,654041,783411,1
,,,0
415343,386269,436110,1
,,,0
248019,235618,260420,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
169508,147472,201715,1
,,,0
0,0,0,1
,,,0
1178054,1107371,1272298,1
,,,0
0,0,0,1
,,,0
620652,583413,657891,1
,,,0
906823,861482,961232,1
,,,0
403237,370978,431464,1
,,,0
0,0,0,1
,,,0
1177024,1082862,1294726,1
,,,0
553917,526221,581613,1
,,,0
1136733,1079896,1227672,1
,,,0
619316,588350,650282,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
312400,281160,331144,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
354706,326330,386630,1
,,,0
0,0,0,1
,,,0
807851,751301,880558,1
,,,0
0,0,0,1
,,,0
988285,928988,1077231,1
,,,0
1392847,1295348,1559989,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
820532,771300,886175,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
770611,732080,816848,1
,,,0
0,0,0,1
,,,0
786928,723974,857752,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
898145,853238,952034,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
1306660,1110661,1515726,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
392007,368487,419447,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
1343336,1262736,1464236,1
,,,0
739580,665622,820934,1
,,,0
952082,866395,1085373,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
373511,354835,395922,1
,,,0
0,0,0,1
,,,0
