"","Recipient","AverageContribution","TotalAmount","test","totalcount","out.of.district"
"183","Mom, Rady",214.444444444444,9650,10,37,0.27027027027027
"184","Moncreaff, Matthew O.",50,850,4,12,0.333333333333333
"185","Moran, Frank",250,9250,6,27,0.222222222222222
"186","Moran, Michael J.",356.465253456221,154705.92,45,311,0.144694533762058
"187","Muradian, Jr., David Kent",294.864864864865,54550,56,125,0.448
"188","Muratore, Mathew J.",184.838056680162,45655,102,202,0.504950495049505
"189","Murphy, James",208.045977011494,18100,12,72,0.166666666666667
"190","Murray, Brian W.",142.926829268293,5860,35,35,1
"191","Nakajima, Eric T.",78.006711409396,11623,81,115,0.704347826086957
"192","Nangle, David M.",216.385479452055,63184.56,53,244,0.217213114754098
"193","Naughton, Harold P.",223.312298850575,58284.51,46,191,0.240837696335079
"194","Neslusan, Tanya V.",61.2333333333333,6429.5,17,73,0.232876712328767
"195","Net, Hong L.",303.289090909091,3336.18,2,6,0.333333333333333
"196","Nguyen, Tram",112.778467561521,100823.95,191,726,0.263085399449036
"197","Nzenwa, Christopher O.",200,800,1,1,1
"198","O'Connell, Edward J.",187.777777777778,6760,9,29,0.310344827586207
"199","O'Connell, Judith L.",407.692307692308,5300,7,9,0.777777777777778
"200","O'Connell, Shaunna",127.797905882353,54314.11,175,335,0.522388059701492
"201","O'Day, James J.",272.119851851852,36736.18,18,101,0.178217821782178
"202","Orrall, Norman J.",156.923076923077,10200,25,44,0.568181818181818
"203","Owens, Roy",1000,1000,1,1,1
"204","Palmieri, Richard E.",245.625,9825,15,31,0.483870967741935
"205","Parisella, Jerald A.",124.440298507463,16675,56,101,0.554455445544555
"206","Peake, Sarah K.",277.324210526316,31614.96,18,72,0.25
"207","Pease, Casey T.",111.328358208955,7459,13,36,0.361111111111111
"208","Peisch, Alice Hanlon",326.063829787234,15325,5,38,0.131578947368421
"209","Petrolati, Thomas M.",183.227848101266,14475,29,56,0.517857142857143
"210","Phillips, Lesley R.",362.5,2900,2,5,0.4
"211","Pignatelli, William",233.655462184874,27805,29,52,0.557692307692308
"212","Poirier, Elizabeth A.",117.391304347826,8100,56,63,0.888888888888889
"213","Powell, Nathaniel K.",205,1845,7,8,0.875
"214","Prinzivalli, Giuseppina (Pina)",503.409090909091,11075,7,18,0.388888888888889
"215","Provost, Denise",269.230769230769,3500,5,13,0.384615384615385
"216","Puppolo Jr., Angelo J.",183.01724137931,53075,54,233,0.231759656652361
"217","Remillard, Darryn Elliot",115.864285714286,8110.5,15,47,0.319148936170213
"218","Robertson, David A.",343.75,8250,10,18,0.555555555555556
"219","Robinson, Maria D.",123.328733031674,27255.65,43,123,0.349593495934959
"220","Rocco-Runnion, Jennifer",304.591836734694,14925,40,43,0.930232558139535
"221","Rogers, David M.",235.185185185185,12700,13,46,0.282608695652174
"222","Rogers, John H.",334.487741935484,20738.24,8,51,0.156862745098039
"223","Roy, Jeffrey N.",167.848484848485,27695,35,120,0.291666666666667
"224","Rushing, Byron",254.833333333333,30580,25,104,0.240384615384615
"225","Russo, Andrew J.",165.786290322581,41115,61,207,0.294685990338164
"226","Rusteika, Matthew S.",399.431818181818,17575,21,31,0.67741935483871
"227","Ryan, Daniel Joseph",204.040129449838,63048.4,38,148,0.256756756756757
"228","Sabadosa, Lindsay N.",123.472142857143,20743.32,96,131,0.732824427480916
"229","Sanchez, Jeffrey",299.867923387097,297468.98,67,767,0.0873533246414602
"230","Santiago, Jon",149.079638554217,24747.22,31,112,0.276785714285714
"231","Scaccia, Angelo M.",269.488043478261,24792.9,15,78,0.192307692307692
"232","Schmaling, Summer K.",220.805238095238,4636.91,13,19,0.684210526315789
"233","Schmid III, Paul A.",236.619718309859,50400,42,146,0.287671232876712
"234","Silvia, Alan",183.751581395349,39506.59,57,178,0.320224719101124
"235","Smith, Stephen Stat",150,300,1,2,0.5
"236","Smola, Todd M.",419.84126984127,26450,18,36,0.5
"237","Soter, Michael J.",401.52380952381,42160,35,84,0.416666666666667
"238","Speliotis, Theodore C.",229.605179856115,31915.12,12,107,0.11214953271028
"239","Stanley, Thomas M.",104.130434782609,9580,33,78,0.423076923076923
"240","Steinberg, Theodore L.",101.014925373134,6768,8,25,0.32
