,Filer_Full_Name_Reverse,in.d,out.d,out.prop,District,Party,Result,Competition,Sex,20th_Percentile_HH_Income,Median_HH_Income,80th_Percentile_HH_Income,Race
6,"Busse, Margaret Woolley",241,350,0.592216582,Middlesex and Worcester District,Republican,Loser,Yes,Female,"39,800.00","96,000.00","184,600.00",White
20,"Eldridge, James",848,634,0.42780027,Middlesex and Worcester District,Democrat,Winner,Yes,Male,"39,800.00","96,000.00","184,600.00",White
52,"Rush, Michael F.",275,245,0.471153846,Norfolk and Suffolk District,Democrat,Winner,No,Male,"34,200.00","88,800.00","172,600.00",White
33,"Katz, Jacqueline",25,93,0.788135593,"Norfolk, Bristol, and Middlesex District",Democrat,Loser,Yes,Female,"44,200.00","104,700.00","199,700.00",White
48,"Rausch, Rebecca Lynne",305,909,0.748764415,"Norfolk, Bristol, and Middlesex District",Democrat,Winner,Yes,Female,"44,200.00","104,700.00","199,700.00",White
51,"Ross, Richard",34,44,0.564102564,"Norfolk, Bristol, and Middlesex District",Republican,Loser,Yes,Male,"44,200.00","104,700.00","199,700.00",White
56,"Timilty, Walter F.",257,303,0.541071429,"Norfolk, Bristol, and Plymouth District",Democrat,Winner,No,Male,"35,700.00","86,500.00","160,800.00",White
41,"McBrine, Katie L.",343,750,0.686184812,Plymouth and Norfolk District,Democrat,Loser,Yes,Female,"34,200.00","89,100.00","172,700.00",White
45,"O'Connor, Patrick Michael",528,270,0.338345865,Plymouth and Norfolk District,Republican,Winner,Yes,Male,"34,200.00","89,100.00","172,700.00",White
9,"Chalifoux Zephir, Susan",140,90,0.391304348,Worcester and Middlesex District,Democrat,Loser,Yes,Female,"23,400.00","63,900.00","120,800.00",White
57,"Tran, Dean A.",276,749,0.730731707,Worcester and Middlesex District,Republican,Winner,Yes,Male,"23,400.00","63,900.00","120,800.00",Asian
23,"Fattman, Ryan",422,306,0.42032967,Worcester and Norfolk District,Republican,Winner,Yes,Male,"30,800.00","73,000.00","133,500.00",White
42,"Merolli, Thomas",389,240,0.381558029,Worcester and Norfolk District,Democrat,Loser,Yes,Male,"30,800.00","73,000.00","133,500.00",White
28,"Gobi, Anne M.",264,232,0.467741935,"Worcester, Hampden, Hampshire, and Middlesex District",Democrat,Winner,Yes,Female,"29,400.00","68,500.00","124,400.00",White
29,"Hall, Steven R.",149,125,0.45620438,"Worcester, Hampden, Hampshire, and Middlesex District",Republican,Loser,Yes,Male,"29,400.00","68,500.00","124,400.00",White
