repDistrict,donorCount
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
132,229
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
130,132
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
90,742
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
136,159
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
126,330
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
139,191
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
128,220
