district
41
32.0
41
57.0
121.0
41
42
76.0
61.0
36.0
42
32.0
41
80.0
42
41
42.0
55.0
79.0
57.0
130.0
42
140.0
93.0
91.0
112.0
154.0
20.0
41
99.0
44.0
64.0
38.0
41
41
10.0
24.0
41.0
41
42.0
83.0
30.0
61.0
150.0
90.0
99.0
72.0
95.0
140.0
96.0
78.0
121.0
145.0
50.0
157.0
145.0
90.0
6.0
112.0
110.0
112.0
114.0
112.0
116.0
80.0
15.0
72.0
109.0
7.0
6.0
6.0
140.0
54.0
64.0
121.0
41
41
95.0
83.0
38.0
138.0
62.0
99.0
41
90.0
90.0
90.0
60.0
113.0
121.0
62.0
148.0
74.0
60.0
42
45.0
159.0
41
41
41
92.0
92.0
90.0
137.0
41
121.0
36.0
55.0
91.0
80.0
10.0
31.0
115.0
49.0
55.0
22.0
24.0
41
73.0
149.0
121.0
10.0
151.0
126.0
121.0
77.0
80.0
41
56.0
41
102.0
72.0
41
91.0
140.0
87.0
48.0
112.0
41
41
121.0
110.0
136.0
134.0
77.0
42.0
114.0
77.0
41
41
48.0
55.0
88.0
57.0
41
42
78.0
140.0
131.0
147.0
125.0
113.0
6.0
72.0
41
16.0
41
77.0
112.0
99.0
132.0
31.0
90.0
41
80.0
41
128.0
55.0
42
40.0
100.0
41
109.0
131.0
88.0
96.0
41
3.0
38.0
93.0
70.0
31.0
54.0
51.0
41
121.0
41
32.0
42
55.0
6.0
6.0
41
144.0
112.0
42
42.0
57.0
140.0
150.0
93.0
90.0
138.0
159.0
72.0
137.0
140.0
92.0
41
155.0
140.0
41
157.0
70.0
3.0
91.0
99.0
10.0
102.0
80.0
41
20.0
41
41
46.0
59.0
10.0
42
154.0
41
99.0
10.0
64.0
38.0
24.0
55.0
121.0
159.0
42.0
55.0
144.0
36.0
144.0
97.0
44.0
90.0
59.0
37.0
41
78.0
140.0
134.0
147.0
80.0
121.0
130.0
72.0
109.0
7.0
90.0
99.0
118.0
62.0
41
42
157.0
151.0
125.0
141.0
90.0
99.0
132.0
80.0
10.0
31.0
62.0
159.0
41
136.0
78.0
31.0
121.0
145.0
145.0
77.0
41
140.0
61.0
77.0
93.0
41
42
149.0
92.0
90.0
114.0
92.0
120.0
159.0
41
41
121.0
60.0
93.0
93.0
94.0
140.0
46.0
46.0
41
72.0
95.0
76.0
116.0
114.0
114.0
83.0
46.0
21.0
42
68.0
97.0
109.0
62.0
94.0
41
111.0
41
83.0
117.0
61.0
115.0
140.0
110.0
46.0
6.0
70.0
6.0
112.0
6.0
112.0
87.0
48.0
118.0
41
149.0
41
109.0
14.0
14.0
110.0
129.0
113.0
41
112.0
117.0
121.0
112.0
55.0
104.0
41
41
84.0
141.0
90.0
41
112.0
42
112.0
144.0
99.0
56.0
48.0
46.0
42.0
40.0
131.0
112.0
60.0
112.0
109.0
18.0
112.0
41
112.0
42
134.0
121.0
93.0
84.0
60.0
134.0
52.0
121.0
41
121.0
99.0
59.0
42
92.0
41
42
46.0
41
41
112.0
114.0
149.0
95.0
41
41
77.0
121.0
114.0
41
149.0
121.0
138.0
114.0
46.0
114.0
42
41
121.0
114.0
114.0
70.0
114.0
41
77.0
114.0
41
114.0
114.0
140.0
143.0
138.0
149.0
114.0
41
149.0
46.0
114.0
101.0
131.0
62.0
101.0
9.0
83.0
41
110.0
41
42.0
41
42
41
90.0
41
6.0
42
42
131.0
95.0
42.0
42.0
90.0
46.0
41
42
41
6.0
42
83.0
97.0
132.0
141.0
83.0
42
69.0
41
90.0
42.0
110.0
119.0
42
90.0
41
90.0
125.0
157.0
99.0
112.0
73.0
137.0
111.0
110.0
157.0
101.0
97.0
60.0
36.0
133.0
116.0
151.0
42
42
64.0
60.0
90.0
97.0
80.0
16.0
116.0
155.0
157.0
46.0
22.0
42
3.0
138.0
59.0
41
47.0
41
66.0
64.0
97.0
42.0
111.0
124.0
43.0
101.0
41
41
41
110.0
11.0
94.0
41
102.0
26.0
64.0
130.0
42
96.0
108.0
73.0
144.0
93.0
107.0
133.0
70.0
36.0
42
111.0
42
63.0
103.0
68.0
90.0
90.0
52.0
41
41
7.0
132.0
41
74.0
128.0
78.0
41
41
94.0
121.0
